QualifiedApiName,Label,DeveloperName
Contract,Contract,Contract
Order,Order,Order
OrderItem,Order Product,OrderItem
Asset,Asset,Asset
Account,Account,Account
Contact,Contact,Contact
Lead,Lead,Lead
AccountContactRelation,Account Contact Relationship,AccountContactRelation
Product2,Product,Product2
Campaign,Campaign,Campaign
CampaignMember,Campaign Member,CampaignMember
Case,Case,Case
ContentVersion,Content Version,ContentVersion
EmailMessage,Email Message,EmailMessage
Event,Event,Event
Individual,Individual,Individual
Opportunity,Opportunity,Opportunity
OpportunityContactRole,Opportunity Contact Role,OpportunityContactRole
OpportunityLineItem,Opportunity Product,OpportunityLineItem
PricebookEntry,Price Book Entry,PricebookEntry
Solution,Solution,Solution
Task,Task,Task
VoiceCall,Voice Call,VoiceCall
EngagementAttendee,Engagement Attendee,EngagementAttendee
EngagementInteraction,Engagement Interaction,EngagementInteraction
EngagementTopic,Engagement Topic,EngagementTopic
User,User,User
Quote,Quote,Quote
QuoteLineItem,Quote Line Item,QuoteLineItem
AccountBrand,Account Brand,AccountBrand
ActionPlan,Action Plan,ActionPlan
ActiveScratchOrg,Active Scratch Org,ActiveScratchOrg
Address,Address,Address
AssetRelationship,Asset Relationship,AssetRelationship
AssociatedLocation,Associated Location,AssociatedLocation
DelegatedAccount,External Managed Account,DelegatedAccount
DuplicateRecordItem,Duplicate Record Item,DuplicateRecordItem
DuplicateRecordSet,Duplicate Record Set,DuplicateRecordSet
Idea,Idea,Idea
QuickText,Quick Text,QuickText
Location,Location,Location
ContactPointEmail,Contact Point Email,ContactPointEmail
ContactPointPhone,Contact Point Phone,ContactPointPhone
ContactPointAddress,Contact Point Address,ContactPointAddress
ContactPointConsent,Contact Point Consent,ContactPointConsent
ContactPointTypeConsent,Contact Point Type Consent,ContactPointTypeConsent
DataUseLegalBasis,Data Use Legal Basis,DataUseLegalBasis
DataUsePurpose,Data Use Purpose,DataUsePurpose
AuthorizationForm,Authorization Form,AuthorizationForm
AuthorizationFormConsent,Authorization Form Consent,AuthorizationFormConsent
AuthorizationFormDataUse,Authorization Form Data Use,AuthorizationFormDataUse
AuthorizationFormText,Authorization Form Text,AuthorizationFormText
CommSubscription,Communication Subscription,CommSubscription
CommSubscriptionChannelType,Communication Subscription Channel Type,CommSubscriptionChannelType
CommSubscriptionConsent,Communication Subscription Consent,CommSubscriptionConsent
CommSubscriptionTiming,Communication Subscription Timing,CommSubscriptionTiming
EngagementChannelType,Engagement Channel Type,EngagementChannelType
Macro,Macro,Macro
NamespaceRegistry,Namespace Registry,NamespaceRegistry
Pricebook2,Price Book,Pricebook2
Recommendation,Recommendation,Recommendation
Scorecard,Scorecard,Scorecard
ScorecardAssociation,Scorecard Association,ScorecardAssociation
ScorecardMetric,Scorecard Metric,ScorecardMetric
ScratchOrgInfo,Scratch Org Info,ScratchOrgInfo
SocialPersona,Social Persona,SocialPersona
SocialPost,Social Post,SocialPost
UserProvisioningRequest,User Provisioning Request,UserProvisioningRequest
RecordAction,RecordAction,RecordAction
ContactRequest,Contact Request,ContactRequest
Image,Image,Image
PartyConsent,Party Consent,PartyConsent
LocationTrustMeasure,Location Trust Measure,LocationTrustMeasure
ProcessException,Process Exception,ProcessException
SharingRecordCollection,Record Collection,SharingRecordCollection
FlowOrchestrationInstance,Orchestration Run,FlowOrchestrationInstance
FlowOrchestrationStageInstance,Orchestration Stage Run,FlowOrchestrationStageInstance
FlowOrchestrationStepInstance,Orchestration Step Run,FlowOrchestrationStepInstance
FlowOrchestrationWorkItem,Orchestration Work Item,FlowOrchestrationWorkItem
VideoCall,Video Call,VideoCall
VideoCallParticipant,Video Call Participant,VideoCallParticipant
CalculationMatrix,Decision Matrix,CalculationMatrix
CalculationMatrixColumn,Decision Matrix Column,CalculationMatrixColumn
CalculationMatrixVersion,Decision Matrix Version,CalculationMatrixVersion
CalculationProcedure,Calculation Procedure,CalculationProcedure
CalculationProcedureStep,Calculation Procedure Step,CalculationProcedureStep
CalculationProcedureVariable,Calculation Procedure Variable,CalculationProcedureVariable
CalculationProcedureVersion,Calculation Procedure Version,CalculationProcedureVersion
FlowOrchestrationLog,Orchestration Run Log,FlowOrchestrationLog
BusinessBrand,Business Brand,BusinessBrand
CalcProcStepRelationship,Expression Set Step Relationship,CalcProcStepRelationship
CalculationMatrixRow,Decision Matrix Row,CalculationMatrixRow
Customer,Customer,Customer
RecordAlert,Record Alert,RecordAlert
Seller,Seller,Seller
ExpressionSet,Expression Set,ExpressionSet
ExpressionSetVersion,Expression Set Version,ExpressionSetVersion
CalcMatrixColumnRange,Decision Matrix Column Range,CalcMatrixColumnRange
ApprovalSubmission,Approval Submission,ApprovalSubmission
ApprovalWorkItem,Approval Work Item,ApprovalWorkItem
ApprovalSubmissionDetail,Approval Submission Detail,ApprovalSubmissionDetail
dstore__Audit_Configuration__c,Audit Configuration,Audit_Configuration
dstore__Grocery_Store_Review__c,Grocery Store Review (Example),Grocery_Store_Review
Opportunity_Sales_Template__c,Opportunity Sales Template,Opportunity_Sales_Template
sf_devops__Vcs_Synch_State__c,Vcs Synch State,Vcs_Synch_State
Automation_Task_Log__c,Automation Task Log,Automation_Task_Log
sf_devops__Vcs__c,Source Control System,Vcs
Streams__Event__c,Streams Event,Event
Enrollment__c,Enrollment,Enrollment
abc__c,abc,abc
Graphics_Pack_Example__c,Graphics Pack Example,Graphics_Pack_Example
SFDC_Benefit__c,Benefit,SFDC_Benefit
Password__c,Password,Password
Warranty__c,Warranty,Warranty
SFDC_Employee__c,Employee,SFDC_Employee
SFDC_Job_Function__c,Job Function,SFDC_Job_Function
SFDC_PTO_Request__c,PTO Request,SFDC_PTO_Request
SFDC_Performance_Review__c,Performance Review,SFDC_Performance_Review
SFDC_Salary_History__c,Salary History,SFDC_Salary_History
User_Group__c,User Group,User_Group
sf_devops__Async_Operation_Result__c,Async Operation Result,Async_Operation_Result
sf_devops__Back_Sync__c,Back Sync,Back_Sync
sf_devops__Branch__c,Branch,Branch
sf_devops__Change_Bundle_Install__c,Change Bundle Install,Change_Bundle_Install
sf_devops__Change_Bundle__c,Change Bundle,Change_Bundle
sf_devops__Change_Submission__c,Change Submission,Change_Submission
sf_devops__Deploy_Component__c,Deploy Component,Deploy_Component
sf_devops__Deployment_Result__c,Deployment Result,Deployment_Result
sf_devops__Environment__c,Environment,Environment
sf_devops__Hidden_Remote_Change__c,Hidden Remote Change,Hidden_Remote_Change
sf_devops__Merge_Result__c,Merge Result,Merge_Result
sf_devops__Object_Activity__c,Object Activity,Object_Activity
sf_devops__Pipeline_Stage__c,Pipeline Stage,Pipeline_Stage
sf_devops__Pipeline__c,Pipeline,Pipeline
sf_devops__Project__c,Project,Project
sf_devops__Remote_Change__c,Remote Change,Remote_Change
sf_devops__Repository__c,Repository,Repository
sf_devops__Source_Member_Reference__c,Source Member Reference,Source_Member_Reference
sf_devops__Submit_Component__c,Submit Component,Submit_Component
sf_devops__Vcs_Event__c,VCS Event,Vcs_Event
sf_devops__Work_Item_Promote__c,Work Item Promote,Work_Item_Promote
sf_devops__Work_Item__c,Work Item,Work_Item
Data_Masking_Configuration__mdt,Data Masking Configuration,Data_Masking_Configuration
Post_Copy_Task__mdt,Post Copy Task,Post_Copy_Task
GraphicsPackImages__mdt,Graphics Pack Image,GraphicsPackImages
GraphicsPackSettings__mdt,Graphics Pack Setting,GraphicsPackSettings
sf_devops__Service_Provider__mdt,Service Provider,Service_Provider
sf_devops__Deployment__e,Deployment,Deployment
sf_devops__Work_Item_Commit__e,Work Item Commit,Work_Item_Commit
sf_devops__Work_Item_Merged_Change_Request__e,Work Item Merged Change Request,Work_Item_Merged_Change_Request
sf_devops__Work_Item_Open_Change_Request__e,Work Item Open Change Request,Work_Item_Open_Change_Request
sf_devops__Work_Item_State_Change__e,Work Item State Change,Work_Item_State_Change
